Row,ammoniumhydroxide,putrescine,cadaverine,g-butyrolactone,g-hexalactone,g-octalactone,g-decalactone,d-decalactone,methanoicacid,acetic acid,propionic acid,butyric acid,pentanoic acid,hexanoic acid,heptanoic acid,octanoic acid,nonionic acid,linoleum acid,isobutyric acid,isopentanoic acid,pyretic acid,2-ethylhexanoic acid,lactic acid,3-methylthio-1-propanol,dimethyl sulfide,terpinolene,a-pinene,b-pinene,(1S)-(+)-3-carene,limonene,a-humulene,b-myrcene,(-)-trans-caryophyllene,p-cymene,geranyl acetate,a-terpineol,geraniol,nerol,linalool,b-citronellol,linalool oxide,acetaldehyde,propanal,butanal,pentanal,hexanal,E2-hexenal,furfural,2-propenal,acetone,2-butanone,2-pentanone,2-heptanone,6-methyl-5-hepten-2-one,2 3-butanedione,phenethyl alcohol,benzyl alcohol,methyl salicylate,methyl benzoate,ethyl benzoate,phenethyl acetate,benzaldehyde,phenylacetaldehyde,acetophenone,ethylcinnamate,2-methylphenol,4-ethylguaiacol,eugenol,methanol,ethanol,1-propanol,1-butanol,1-pentanol,1-hexanol,1-octanol,2-pentanol,3-methylbutanol,3-methyl-2-buten-1-ol,1-penten-3-ol,1-octen-3-ol,E2-hexenol,Z2-hexenol,E3-hexenol,Z3-hexenol,glycerol,2 3-butanediol,methyl acetate,ethyl acetate,propyl acetate,butyl acetate,pentyl acetate,hexyl acetate,isobutyl acetate,isopentyl acetate,E2-hexenyl acetate,methyl butyrate,ethyl butyrate,hexyl butyrate,ethyl 3-hydroxybutyrate,ethyl propionate,ethyl methanoate,methyl hexanoate,ethyl hexanoate,hexyl hexanoate,methyl octanoate,ethyl octanoate,ethyl decanoate,ethyl trans-2-butenoate,ethyl lactate,diethyl succinate,ethyl acetate -2,pentyl acetate -2,ethyl butyrate -2,methyl salicylate -2,1-hexanol -2,1-octen-3-ol -2,E2-hexenal -2,2 3-butanedione -2,2-heptanone -2,geranyl acetate -2,ethyl acetate -4,pentyl acetate -4,ethyl butyrate -4,methyl salicylate -4,1-hexanol -4,1-octen-3-ol -4,E2-hexenal -4,2 3-butanedione -4,2-heptanone -4,geranyl acetate -4,ethyl acetate -6,pentyl acetate -6,ethyl butyrate -6,methyl salicylate -6,1-hexanol -6,1-octen-3-ol -6,E2-hexenal -6,2 3-butanedione -6,2-heptanone -6,geranyl acetate -6,ethyl acetate -8,pentyl acetate -8,ethyl butyrate -8,methyl salicylate -8,1-hexanol -8,1-octen-3-ol -8,E2-hexenal -8,2 3-butanedione -8,2-heptanone -8,geranyl acetate -8,apple pure,apricot pure,banana pure,cherry pure,mango pure,peach pure,pineapple pure,raspberry pure,strawberry pure,apple -2,apricot -2,banana -2,cherry -2,mango -2,peach -2,pineapple -2,raspberry -2,strawberry -2,apple -4,apricot -4,banana -4,cherry -4,mango -4,peach -4,pineapple -4,raspberry -4,strawberry -4,apple -6,apricot -6,banana -6,cherry -6,mango -6,peach -6,pineapple -6,raspberry -6,strawberry -6
va1d,0,-6,0,2,3,-16,7,-1,4,-5,-7,-2,-7,-5,-3,1,-3,-9,-4,-3,3,-12,-3,2,-6,6,2,2,4,2,6,7,0,5,1,7,7,7,-2,7,4,5,-9,-3,-2,-9,-8,-12,4,-9,-14,-19,19,-15,11,4,1,-7,-9,-5,-4,-3,0,-12,4,-14,-1,-3,-8,-12,-6,0,8,16,-20,5,4,7,-6,-16,-8,-12,-17,-16,8,0,14,5,11,0,9,3,7,-1,-2,8,-9,-7,-22,-5,-5,-27,-11,3,-8,-5,-5,-9,-7,5,5,9,-9,-7,16,-16,-8,11,19,1,-4,0,0,-3,-5,-3,-4,-2,24,0,6,5,2,1,4,3,5,6,15,-1,-2,0,0,-3,1,2,8,4,1,3,49,34,19,9,21,8,7,-6,-9,0,-4,10,3,-4,-2,-1,-4,5,-14,-11,8,-2,-3,2,2,4,1,-4,-7,-1,-4,-1,1,-5,-3,-6
va1v,-8,-25,-16,9,-36,-19,-3,-4,3,-21,-22,-27,-22,-24,-7,-11,-4,-20,-19,-15,-20,-16,-21,-26,-8,-6,-8,2,-2,-5,0,-1,-6,-2,-1,-8,-7,-7,-14,-6,-9,-38,-40,-26,-22,-21,18,-19,-16,-6,-15,-31,-10,6,7,-20,-21,6,-4,-11,-15,-18,-17,-6,-1,-27,-5,-4,-21,-22,-18,-25,-31,-35,-32,-33,-33,-25,-35,-30,-33,-34,-34,-29,-1,-11,-21,-7,-34,-38,-24,-37,-28,-38,-32,-25,-16,-17,-35,-23,-11,-33,-31,4,-26,-7,-3,-33,-28,-16,-7,-24,-16,6,-35,-30,18,7,-10,-1,-13,-11,-9,-4,-4,-3,-3,-4,-8,-2,0,3,2,4,-1,2,5,4,5,3,1,2,1,-3,2,0,2,2,2,3,-13,-16,-26,-15,-10,-13,-6,-23,-19,-19,-11,-16,-2,-17,-11,-7,-10,-6,-5,-3,-9,-7,-1,-4,-1,1,-4,-12,-10,-8,-7,-6,1,-8,-19,-8
non-hallem30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
va5,4,-7,-2,-1,-1,-3,0,-4,25,5,9,8,2,7,-4,-1,0,-1,4,6,1,-1,4,-1,-10,2,-4,1,-6,5,6,-3,-7,3,-4,-3,-2,7,-8,-5,-12,-1,-8,-7,-8,-4,6,-4,-3,-3,3,3,21,-5,6,45,111,48,19,-6,7,101,79,79,3,250,-2,-6,9,1,1,26,44,31,-6,32,20,35,32,15,41,20,29,37,0,-5,-5,15,11,19,8,-3,-3,11,6,20,-3,0,42,-5,3,12,-2,-1,4,-6,-2,3,34,-3,15,8,-3,48,31,15,6,6,21,-4,-4,1,1,1,-2,-7,1,-7,13,0,0,0,-4,2,4,0,-2,2,3,1,0,-1,-1,-4,-3,-2,-1,-3,2,-3,20,16,26,91,12,26,14,24,27,2,4,3,8,5,7,4,7,3,5,7,4,8,3,9,7,7,8,5,1,3,6,6,-3,3,2,2
va6,2,-4,-2,-7,5,20,-8,-5,-9,10,7,7,25,19,-5,-7,-7,-7,11,24,-8,-6,-5,30,2,-5,-3,-2,-5,2,-8,-7,-1,-12,241,3,29,1,12,5,27,10,-15,7,10,8,-6,39,-5,-4,17,32,32,61,20,25,23,-5,31,-4,19,-10,9,-16,-1,-14,-7,-1,3,16,17,38,55,58,35,60,58,42,45,34,16,37,34,34,-4,24,15,17,15,36,21,24,29,39,28,25,27,10,5,18,-2,18,10,-3,16,5,-4,16,42,32,17,21,27,-5,58,34,-6,20,32,241,12,-3,10,3,6,4,2,9,6,35,-7,-10,-5,-9,-6,-4,-5,-3,-2,-11,-5,-1,-6,2,-7,-2,-8,-8,-10,-6,40,28,28,26,28,31,29,42,27,26,-1,12,7,9,11,5,14,7,6,-2,0,-2,2,8,-3,3,8,-8,-2,-2,6,-2,-9,-8,-2,-5
non-hallem35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vc3,4,0,12,81,171,36,-3,-10,-9,-1,2,12,36,7,11,-4,-8,38,1,5,5,-8,9,188,-2,7,28,3,-4,51,3,0,14,9,-3,18,9,10,26,11,-5,4,-6,65,82,185,227,176,-9,8,13,112,119,-12,13,120,44,2,-14,-16,-13,83,-17,10,-10,-12,-3,-7,38,34,55,199,188,237,222,162,222,176,37,141,223,202,213,204,-4,4,-6,18,102,63,191,206,26,22,227,102,121,225,87,1,-11,-10,-21,126,10,-12,-10,14,5,-20,18,191,121,2,237,141,227,13,119,-3,-3,47,-2,9,264,11,19,0,38,-2,-3,3,-4,0,220,-14,-7,-2,8,-8,-1,2,3,8,30,8,4,0,10,-2,130,40,89,83,60,78,51,78,90,182,4,109,63,29,42,10,71,102,82,-2,16,0,-2,5,-3,2,15,17,8,4,1,3,6,1,3,2
vc4,10,6,14,20,40,16,1,0,-8,6,18,16,11,12,-3,2,5,-4,13,15,11,8,21,46,2,15,14,6,11,11,10,12,8,8,-3,18,23,13,7,19,22,47,15,21,20,15,47,36,5,-5,21,60,36,16,42,67,26,-2,10,-4,1,6,17,35,-1,2,31,-3,20,26,48,72,126,109,11,98,81,95,109,24,142,99,102,111,-1,35,7,29,63,45,17,2,73,48,12,75,112,6,89,47,1,21,-3,-4,2,1,-3,34,288,7,29,17,112,-2,109,24,47,42,36,-3,1,-4,6,-1,3,-4,1,1,8,-3,3,-2,2,4,1,3,-6,3,5,5,-4,-3,-6,-5,-5,-5,4,-7,2,1,158,78,213,83,90,76,84,97,149,30,3,100,5,5,2,4,8,26,1,1,10,4,5,4,4,2,3,-5,-7,-2,-6,-12,-6,-3,-1,-2
non-hallem41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vm2,3,1,12,19,30,27,2,2,-1,10,7,20,7,7,20,10,6,34,10,9,9,45,6,37,11,12,4,9,7,6,5,7,8,2,10,6,6,9,1,7,14,8,15,51,12,44,84,34,11,11,25,75,71,46,69,6,0,12,32,6,2,12,8,10,2,35,3,10,14,13,33,73,109,73,28,168,49,53,103,44,89,173,55,79,5,110,22,132,174,138,89,16,177,96,7,174,199,7,146,168,9,58,4,-1,4,3,7,191,93,4,132,89,199,12,73,44,84,69,71,10,11,25,56,2,18,4,3,4,29,2,3,1,9,3,-1,1,3,6,29,1,3,0,-1,0,0,-3,2,8,1,3,158,48,247,51,95,49,82,59,126,45,-2,88,2,10,2,-1,3,7,-4,-4,17,1,0,-4,-4,0,-2,1,-1,-3,5,5,0,5,-3,7
vm3,32,26,21,53,118,26,-1,-2,31,9,20,138,19,22,3,-2,-6,3,19,23,22,4,6,96,19,-1,-1,-6,1,3,-2,-1,3,-2,-5,7,-1,2,6,6,79,95,6,6,24,34,38,93,3,29,94,130,106,58,60,17,30,13,43,29,18,57,14,62,-2,36,14,10,25,21,52,103,160,102,20,227,97,59,209,54,110,88,198,154,8,247,24,37,161,151,85,44,172,139,30,143,121,2,204,58,24,53,20,-3,4,2,2,103,75,21,37,85,121,13,102,54,38,60,106,-5,19,10,14,-1,6,1,0,5,28,-1,1,2,0,0,2,0,0,1,15,0,-4,-4,-4,-2,-3,-5,-3,-3,0,-3,126,71,255,42,75,84,133,109,157,32,2,58,0,3,2,14,8,23,7,1,22,0,1,2,5,2,2,3,-1,1,4,1,0,-1,1,2
non-hallem47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vm5d,15,24,29,47,53,174,13,24,7,27,41,39,30,40,37,68,43,58,35,20,23,99,15,46,32,36,48,34,16,47,19,21,34,17,-2,51,41,42,51,41,33,37,52,53,54,224,145,61,36,28,39,115,190,257,71,20,19,-8,29,14,28,37,39,22,35,27,39,34,17,27,47,44,169,183,56,144,24,25,21,180,254,149,241,195,-1,16,29,18,163,249,190,34,133,231,47,78,102,97,235,57,22,228,89,17,62,39,28,80,77,35,18,190,102,-8,183,180,145,71,190,-2,14,150,12,0,105,63,-1,34,204,-2,2,2,-1,3,1,1,-5,2,156,2,-4,-4,-8,-14,-10,-5,-8,-3,17,-3,203,55,213,23,94,31,92,195,196,169,8,164,-5,32,7,21,136,162,22,-1,91,-8,-9,-9,-2,7,18,-3,-6,-6,-2,-5,-3,-3,-6,-7
vm5v,24,17,21,29,24,101,9,8,14,19,11,11,-9,13,-2,-5,-8,-5,10,5,1,4,13,28,-11,81,30,-3,-7,30,-2,20,-4,-9,81,11,89,65,140,50,36,18,11,26,27,29,28,33,22,-1,4,11,189,232,34,-8,1,8,226,273,24,30,27,29,7,-21,1,50,5,3,-9,-7,75,158,24,81,14,194,-6,197,214,92,137,138,-2,8,4,23,154,227,191,78,208,248,203,69,81,28,188,41,16,188,55,5,23,22,12,243,66,4,23,191,81,8,158,197,28,34,189,81,0,41,3,-1,17,56,3,4,79,19,2,-6,3,-7,1,-5,-2,-4,-6,0,-5,-8,-2,-10,-5,-7,-10,-8,-9,-2,13,42,175,4,98,20,23,98,32,62,1,33,-7,21,-8,-6,33,7,9,3,14,0,0,-2,-5,-2,-2,4,-2,0,-6,-5,-5,-6,-2,-3
non-hallem50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
